_id,price
20886,54743.6796875
117465,137924.625
125220,500933.03125
77683,133906.125
77672,270227.71875
60719,79231.4453125
15330,170316.78125
31409,202098.265625
63045,223256.546875
81343,479040.09375
2152,139939.0
9788,180038.53125
131440,226668.234375
127143,244759.09375
60964,176978.96875
11897,86399.25
28349,107455.5234375
129800,111898.609375
81782,183767.140625
3998,107403.3515625
64497,202721.75
76529,142791.421875
51041,205380.984375
55378,200258.015625
52411,130661.140625
122116,149021.5
131,304785.40625
135109,85561.8046875
48013,345227.53125
28327,132535.625
58077,171169.59375
18876,348935.59375
143327,227897.515625
125842,191843.859375
65781,59257.66796875
80430,42699.6796875
132205,257683.03125
2416,114027.328125
119702,110589.3671875
1772,244962.4375
78641,310388.5
66304,102639.1328125
4247,241250.65625
24308,100172.9765625
61599,169558.296875
118050,45782.203125
118277,228969.09375
27390,98971.0859375
29103,169795.4375
137207,111775.546875
20877,103021.640625
128650,336676.40625
4179,230512.15625
73892,60087.55859375
43961,177695.53125
17915,189482.921875
62000,159650.6875
130592,235877.546875
115347,299324.15625
12651,95125.0
137671,252690.015625
110726,447168.34375
113287,87717.3125
62979,162580.703125
124783,67429.28125
1456,322842.84375
79544,92731.15625
72577,104838.1171875
114247,122091.3046875
43508,64994.75
9338,78248.4765625
41767,214352.515625
1714,87529.796875
81526,79146.1640625
20024,240654.140625
76305,220493.6875
118710,180453.84375
22270,192262.453125
144919,148828.40625
116429,235782.453125
44360,282481.125
124920,123690.0234375
144566,111313.4140625
141662,189912.9375
118888,206238.515625
17739,80299.296875
112825,97028.328125
33302,260690.25
132955,158776.03125
65666,347583.34375
135088,210367.28125
143170,128543.3125
81953,118179.5625
31689,133214.484375
72768,220837.65625
13599,183448.109375
40876,162338.65625
15794,143761.3125
52118,289025.875
79149,44425.6484375
56808,112992.890625
48801,92819.640625
9502,228124.28125
4846,107239.0078125
136647,145106.515625
43618,98773.8203125
139136,328694.9375
22401,83231.9296875
52705,160108.015625
52220,68340.890625
10912,70618.7890625
24403,312894.875
55494,149929.015625
77273,112073.03125
26023,290296.0625
52481,154981.703125
